Topic,Values
1,state,letter,reconsider,amartya,point,estimate,growth,party,centre,bengal
2,state,site,behavior,activity,things,inconvenience,apologize,merge,note,think
3,percent,crore,service,nathealth,quality,private,healthcare,reach,allocation,collaboration
4,news,cable,logo,identify,network,screen,ministry,right,like,company
5,goyal,care,percent,allocation,provide,budget,crore,aiims,finance,friday
6,hwcs,pmjay,integration,state,facilities,come,healthcare,beneficiaries,movement,startups
7,state,nathealth,site,behavior,apologize,things,inconvenience,activity,pmjay,collaboration
8,growth,crisis,perform,book,bank,economy,boost,magic,primary,profitability
9,cookie,privacy,website,cookies,update,accept,policy,dear,regulations,user
10,karnataka,crore,state,yeshasvini,fund,provide,annually,allocate,offer,distress
